id,trade_id,user_id,question_id,dimension,used
1,31,10,54,0,FALSE
2,116,54,78,1,TRUE
3,159,13,78,1,TRUE
4,281,88,77,1,TRUE
5,287,6,77,1,TRUE
6,308,115,78,1,TRUE
7,329,6,77,1,TRUE
8,354,6,78,1,TRUE
9,358,6,77,1,TRUE
10,359,8,77,0,FALSE
11,364,145,77,1,TRUE
12,365,145,77,0,FALSE
13,370,148,78,0,FALSE
14,377,6,104,4,TRUE
15,410,6,109,2,TRUE
16,440,164,52,0,FALSE
17,452,108,52,1,TRUE
18,625,36,52,0,FALSE
19,662,239,128,1,TRUE
20,677,7,128,0,FALSE
21,678,7,128,1,TRUE
22,681,7,126,0,FALSE
23,682,7,126,1,TRUE
24,684,45,128,0,FALSE
25,685,45,128,1,TRUE
26,688,45,126,0,FALSE
27,689,45,126,1,TRUE
28,691,45,28,0,FALSE
29,692,45,28,1,TRUE
30,827,4,119,3,TRUE
31,895,369,128,0,FALSE
32,1099,537,20,1,TRUE
33,1225,531,128,1,TRUE
34,1556,847,43,4,TRUE
35,1557,847,43,4,TRUE
36,1572,59,143,1,TRUE
37,2008,439,22,1,TRUE
38,2101,1008,155,1,TRUE
39,2148,1015,155,1,TRUE
40,2149,1015,155,1,TRUE
41,2261,85,103,1,TRUE
42,2262,85,103,0,FALSE
43,2265,85,133,0,FALSE
44,2266,85,133,1,TRUE
45,2305,1056,71,3,TRUE
46,2350,1067,71,2,TRUE
47,2369,13,37,2,TRUE
48,2411,856,9,1,TRUE
49,2483,8,71,0,FALSE
50,2484,8,71,1,TRUE
51,2485,8,71,2,TRUE
52,2486,8,71,3,TRUE
53,2488,8,71,4,TRUE
54,2490,8,28,0,FALSE
55,2491,8,28,0,FALSE
56,2492,8,28,0,FALSE
57,2493,8,28,0,FALSE
58,2494,8,28,0,FALSE
59,2495,8,28,0,FALSE
60,2496,8,28,1,TRUE
61,2545,85,122,3,TRUE
62,2546,85,122,3,TRUE
63,2547,85,122,4,TRUE
64,2548,85,122,1,TRUE
65,2549,85,122,1,TRUE
66,2550,85,122,1,TRUE
67,2551,85,122,1,TRUE
68,2553,85,104,0,FALSE
69,2554,85,104,0,FALSE
70,2555,85,104,0,FALSE
71,2556,85,104,0,FALSE
72,2557,85,104,0,FALSE
73,2558,85,104,0,FALSE
74,2559,85,104,0,FALSE
75,2560,85,104,0,FALSE
76,2561,85,104,0,FALSE
77,2562,85,104,2,TRUE
78,2563,85,104,2,TRUE
79,2564,85,104,2,TRUE
80,2565,85,104,2,TRUE
81,2566,85,104,2,TRUE
82,2567,85,104,2,TRUE
83,2568,85,104,2,TRUE
84,2569,85,104,2,TRUE
85,2570,85,104,2,TRUE
86,2571,85,104,2,TRUE
87,2572,85,104,2,TRUE
88,2573,85,104,2,TRUE
89,2574,85,104,2,TRUE
90,2575,85,104,2,TRUE
91,2576,85,104,2,TRUE
92,2577,85,104,5,TRUE
93,2578,85,104,5,TRUE
94,2579,85,104,5,TRUE
95,2580,85,104,5,TRUE
96,2581,85,104,5,TRUE
97,2582,85,104,5,TRUE
98,2583,85,104,5,TRUE
99,2584,85,104,5,TRUE
100,2585,85,104,5,TRUE
101,2586,85,104,5,TRUE
102,2587,85,104,5,TRUE
103,2588,85,104,5,TRUE
104,2589,85,104,5,TRUE
105,2590,85,104,5,TRUE
106,2591,85,104,5,TRUE
107,2592,85,104,5,TRUE
108,2604,85,104,5,TRUE
109,2605,85,104,5,TRUE
110,2606,85,104,5,TRUE
111,2607,85,104,5,TRUE
112,2608,85,104,5,TRUE
113,2609,85,104,5,TRUE
114,2610,85,104,5,TRUE
115,2611,85,104,5,TRUE
116,2612,85,104,5,TRUE
117,2613,85,104,5,TRUE
118,2614,85,104,5,TRUE
119,2615,85,104,5,TRUE
120,2616,85,104,5,TRUE
121,2617,85,104,5,TRUE
122,2618,85,104,5,TRUE
123,2619,85,104,5,TRUE
124,2620,85,104,3,TRUE
125,2621,85,104,3,TRUE
126,2622,85,104,3,TRUE
127,2623,85,104,3,TRUE
128,2624,85,104,3,TRUE
129,2625,85,104,3,TRUE
130,2626,85,104,3,TRUE
131,2627,85,104,3,TRUE
132,2628,85,104,3,TRUE
133,2629,85,104,3,TRUE
134,2630,85,104,3,TRUE
135,2631,85,104,3,TRUE
136,2632,85,104,3,TRUE
137,2633,85,104,3,TRUE
138,2634,85,104,3,TRUE
139,2667,85,133,4,TRUE
140,2668,85,133,0,FALSE
141,2669,85,133,1,TRUE
142,2728,1062,103,0,FALSE
143,2729,1062,103,1,TRUE
144,2731,85,103,1,TRUE
145,2744,856,104,0,FALSE
146,2817,574,157,1,TRUE
147,2863,856,9,1,TRUE
148,2875,1135,157,1,TRUE
149,2876,1135,157,1,TRUE
150,2900,1143,157,0,FALSE
151,2901,1143,157,1,TRUE
152,3035,1164,103,0,FALSE
153,3036,1164,103,1,TRUE
154,3037,1164,103,0,FALSE
155,3038,1164,103,0,FALSE
156,3051,1172,157,0,FALSE
157,3055,85,128,1,TRUE
158,3056,85,128,1,TRUE
159,3754,821,126,0,FALSE
160,3787,296,157,0,FALSE
161,3857,1000,157,1,TRUE
162,3858,1000,157,1,TRUE
163,3859,1000,157,0,FALSE
164,3887,1319,103,0,FALSE
165,3895,296,41,2,TRUE
